Feature,AvgImportance,Type
MolMR,68.6732550652336,Electronic
Chi1,8.04390279926018,Structural
TPSA,7.045818629227699,VSA
VSA_EState3,2.8484622100167583,VSA
Kappa2,1.1327272916604019,Structural
NumRotatableBonds,1.1104729581383161,Structural
NumHDonors,0.9354922418860507,Structural
NHOHCount,0.6995592154745987,Structural
HeavyAtomMolWt,0.5367897522934553,Structural
Chi3n,0.5012655894025833,Structural
Chi4n,0.47712137144601197,Structural
VSA_EState7,0.42764152546356393,VSA
VSA_EState8,0.42214127263084333,VSA
SMR_VSA5,0.42178377131175443,VSA
Chi1v,0.3727754471066179,Structural
SlogP_VSA5,0.3436764403199466,VSA
Chi4v,0.33660421812761326,Structural
PEOE_VSA6,0.3343889619398069,VSA
BertzCT,0.3203208193070679,Structural
Kappa3,0.2905960880961921,Structural
Chi1n,0.2810507059684846,Structural
MinEStateIndex,0.2666789805043389,Electronic
Chi2n,0.26473279800251154,Structural
MolLogP,0.2638187427086687,Structural
EState_VSA5,0.26217744507439306,VSA
PEOE_VSA1,0.25371414208006415,VSA
Chi3v,0.24701057302136412,Structural
VSA_EState1,0.1758093918557728,VSA
VSA_EState2,0.17059038101537577,VSA
MinPartialCharge,0.14807172183761266,Electronic
BalabanJ,0.14168386323124288,Structural
MinAbsEStateIndex,0.13896705448540939,Electronic
Chi0v,0.12885340037978732,Structural
Chi2v,0.12647599159900938,Structural
MolWt,0.12034959023249911,Structural
Chi0n,0.11772329237030126,Structural
SMR_VSA10,0.11641268291661615,VSA
PEOE_VSA8,0.11280692794694383,VSA
HallKierAlpha,0.0982800784856874,Structural
SlogP_VSA10,0.09325813366795058,VSA
PEOE_VSA4,0.08046892535219037,VSA
SMR_VSA1,0.07682653420005695,VSA
MaxAbsPartialCharge,0.06517973829738638,Electronic
MaxPartialCharge,0.06406277253102606,Electronic
Kappa1,0.051086996249439146,Structural
SlogP_VSA2,0.049561425415803564,VSA
EState_VSA9,0.049080030986318614,VSA
NumValenceElectrons,0.04704947725202107,Structural
MinAbsPartialCharge,0.044976388292575664,Electronic
MaxAbsEStateIndex,0.04318466199693296,Electronic
VSA_EState5,0.04102296309146685,VSA
MaxEStateIndex,0.03975219205835722,Electronic
Chi0,0.03722390425090592,Structural
SMR_VSA3,0.03349065606240591,VSA
EState_VSA2,0.03228351720265535,VSA
PEOE_VSA14,0.02793280826775256,VSA
NumHeteroatoms,0.02470752254923063,Structural
VSA_EState6,0.02395276112547883,VSA
EState_VSA1,0.023487524095528824,VSA
SMR_VSA7,0.022095590298742557,VSA
EState_VSA8,0.020971860171140385,VSA
NOCount,0.020956254368072077,Structural
PEOE_VSA12,0.020651360105643758,VSA
EState_VSA10,0.019246728051963077,VSA
SMR_VSA6,0.016890301589936787,VSA
EState_VSA4,0.016376124766276687,VSA
HeavyAtomCount,0.01635891088663983,Structural
SlogP_VSA6,0.01578141663945029,VSA
NumHAcceptors,0.015434990843441718,Structural
SlogP_VSA4,0.014860108847794299,VSA
VSA_EState4,0.01454116547308985,VSA
PEOE_VSA7,0.01131706841926932,VSA
EState_VSA3,0.010944867237161952,VSA
PEOE_VSA2,0.01048864655406005,VSA
SlogP_VSA3,0.010332842889519595,VSA
SMR_VSA4,0.010328152703674282,VSA
PEOE_VSA9,0.008673596657412973,VSA
VSA_EState10,0.0065658702728919665,VSA
NumAromaticRings,0.005745835398126495,Structural
EState_VSA7,0.004946946812276022,VSA
EState_VSA6,0.004332218785654644,VSA
PEOE_VSA3,0.0041377100166817855,VSA
NumAliphaticHeterocycles,0.004016714305037129,Structural
PEOE_VSA10,0.003966262103698319,VSA
SlogP_VSA12,0.003736466422405655,VSA
PEOE_VSA11,0.003693165654507623,VSA
SlogP_VSA1,0.0030043256488978525,VSA
NumSaturatedCarbocycles,0.002790343688428479,Structural
NumSaturatedHeterocycles,0.002602449009799057,Structural
PEOE_VSA13,0.00254081930805859,VSA
NumAromaticHeterocycles,0.0022586445647923017,Structural
NumAromaticCarbocycles,0.001757401283438618,Structural
VSA_EState9,0.0015857566044760745,VSA
NumAliphaticCarbocycles,0.001545842245323423,Structural
PEOE_VSA5,0.0015150149737215084,VSA
NumSaturatedRings,0.001463939252509049,Structural
SMR_VSA9,0.0014400222571910434,VSA
SlogP_VSA8,0.001380442336017484,VSA
NumAliphaticRings,0.00016115809213679535,Structural
SMR_VSA2,4.86820638988652e-05,VSA
SlogP_VSA7,4.332721484019092e-05,VSA
SlogP_VSA9,0.0,VSA
SMR_VSA8,0.0,VSA
EState_VSA11,0.0,VSA
NumRadicalElectrons,0.0,Structural
SlogP_VSA11,-0.00012170982273500343,VSA
